origin,year,crop_type,yield_tha,frac_renew,frac_remove,till_type
historial,1980,barley,2.465930756,1,0.7,full
historial,1981,barley,2.447447688,1,0.7,full
historial,1982,barley,2.746016041,1,0.7,full
historial,1983,barley,2.591470871,1,0.7,full
historial,1984,barley,3.11244843,1,0.7,full
historial,1985,barley,2.758096842,1,0.7,full
historial,1986,barley,2.908188261,1,0.7,full
historial,1987,barley,2.807923185,1,0.7,full
historial,1988,barley,2.582006649,1,0.7,full
historial,1989,barley,2.718458455,1,0.7,full
historial,1990,barley,2.899837477,1,0.7,full
historial,1991,barley,3.047646349,1,0.7,full
historial,1992,barley,3.159157147,1,0.7,full
historial,1993,barley,2.887868021,1,0.7,full
historial,1994,barley,2.992475504,1,0.7,full
historial,1995,barley,3.191780875,1,0.7,full
historial,1996,barley,3.401274203,1,0.7,full
historial,1997,barley,3.206756614,1,0.7,full
historial,1998,barley,2.942649162,1,0.7,full
historial,1999,barley,3.107493632,1,0.7,full
historial,2000,barley,3.204084363,1,0.7,full
historial,2001,barley,2.978112156,1,0.7,full
historial,2002,barley,3.098586129,1,0.7,full
historial,2003,barley,3.290654154,1,0.7,full
historial,2004,barley,3.205977208,1,0.7,full
historial,2005,barley,3.26137074,1,0.7,full
historial,2006,barley,3.310640363,1,0.7,full
historial,2007,barley,3.148746503,1,0.7,full
historial,2008,barley,3.314426052,1,0.7,full
historial,2009,barley,3.247786798,1,0.7,full
historial,2010,barley,3.174689605,1,0.7,full
historial,2011,barley,3.153200255,1,0.7,full
historial,2012,barley,3.068077933,1,0.7,full
historial,2013,barley,3.254968472,1,0.7,full
historial,2014,barley,3.5625,1,0.7,full
historial,2015,barley,3.726620736,1,0.7,full
historial,2016,barley,3.302122564,1,0.7,full
historial,2017,barley,3.390919231,1,0.7,full
historial,2018,barley,3.184766217,1,0.7,full
simulated,2019,barley,3.405101816,1,0.7,full
simulated,2020,barley,3.178834114,1,0.7,full
simulated,2021,barley,3.405916005,1,0.7,full
simulated,2022,barley,3.385688208,1,0.7,full
simulated,2023,barley,3.574574778,1,0.7,full
simulated,2024,barley,3.4927297,1,0.7,full
simulated,2025,barley,2.926998128,1,0.7,full
simulated,2026,barley,3.345342253,1,0.7,full
simulated,2027,barley,3.251441351,1,0.7,full
simulated,2028,barley,3.592453415,1,0.7,full
simulated,2029,barley,3.341036096,1,0.7,full
simulated,2030,barley,3.473444484,1,0.7,full
simulated,2031,barley,3.174690166,1,0.7,full
simulated,2032,barley,3.219171431,1,0.7,full
simulated,2033,barley,3.466884578,1,0.7,full
simulated,2034,barley,3.363551211,1,0.7,full
simulated,2035,barley,3.194257485,1,0.7,full
simulated,2036,barley,3.566691128,1,0.7,full
simulated,2037,barley,3.200133029,1,0.7,full
simulated,2038,barley,3.240729268,1,0.7,full
simulated,2039,barley,3.323808901,1,0.7,full
simulated,2040,barley,3.442706214,1,0.7,full
simulated,2041,barley,3.401175244,1,0.7,full
simulated,2042,barley,3.26671778,1,0.7,full
simulated,2043,barley,3.351098407,1,0.7,full
simulated,2044,barley,3.572374554,1,0.7,full
simulated,2045,barley,3.315827811,1,0.7,full
simulated,2046,barley,3.406393007,1,0.7,full
simulated,2047,barley,3.337372776,1,0.7,full
simulated,2048,barley,3.286581503,1,0.7,full
simulated,2049,barley,3.521660755,1,0.7,full
simulated,2050,barley,3.540835145,1,0.7,full
simulated,2051,barley,3.284082477,1,0.7,full
simulated,2052,barley,3.496660752,1,0.7,full
simulated,2053,barley,3.529921661,1,0.7,full
simulated,2054,barley,3.794205808,1,0.7,full
simulated,2055,barley,3.449961796,1,0.7,full
simulated,2056,barley,3.514454888,1,0.7,full
simulated,2057,barley,3.616633866,1,0.7,full
simulated,2058,barley,3.395247963,1,0.7,full
simulated,2059,barley,3.478093682,1,0.7,full
simulated,2060,barley,3.408198465,1,0.7,full
simulated,2061,barley,2.92161756,1,0.7,full
simulated,2062,barley,3.455314243,1,0.7,full
simulated,2063,barley,3.529375459,1,0.7,full
simulated,2064,barley,3.266250121,1,0.7,full
simulated,2065,barley,3.327564208,1,0.7,full
simulated,2066,barley,3.280056818,1,0.7,full
simulated,2067,barley,3.389422527,1,0.7,full
simulated,2068,barley,3.497796549,1,0.7,full
simulated,2069,barley,3.454664405,1,0.7,full
simulated,2070,barley,3.583782316,1,0.7,full