Crop,Slope,Slope_bw,Intercept,Intercept_bw,R_squared
alfalfa,0.29,0.31,0,0,0
barley,0.98,0.08,0.59,0.41,0.68
beans_and_pulses,1.13,0.19,0.85,0.56,0.28
generic_crops_nos,1.09,0.02,0.88,0.06,0.65
grains_nos,1.09,0.02,0.88,0.06,0.65
grass,0.3,0.5,0,0,0
grass_clover_mix,0.3,0.5,0,0,0
maize,1.03,0.03,0.61,0.19,0.76
millet,1.43,0.18,0.14,3.08,0.5
n_fixing_forage,0.3,0.5,0,0,0
non_legume_hay,0.18,0.5,0,0,0
non_n_fixing_forage,0.3,0.5,0,0,0
oats,0.91,0.05,0.89,0.08,0.45
peanut,1.07,0.19,1.54,0.41,0.63
potato,0.1,0.69,1.06,0.7,0.18
rice,0.95,0.19,2.45,0.41,0.47
rye,1.09,0.5,0.88,0.5,0
sorghum,0.88,0.13,1.33,0.27,0.36
soybean,0.93,0.31,1.35,0.49,0.16
spring_wheat,1.29,0.05,0.75,0.26,0.76
tubers,0.1,0.69,1.06,0.7,0.18
wheat,1.51,0.03,0.52,0.17,0.68
winter_wheat,1.61,0.03,0.4,0.25,0.67