Crop,N_frac,Lignin_frac
alfalfa,0.0238,0.072
barley,0.009,0.046
beans_and_pulses,0.008,0.075
generic_crops_nos,0.0083,0.073
grains_nos,0.0068,0.074
grass,0.0126,0.049
grass_clover_mix,0.0178,0.061
maize,0.0063,0.11
millet,0.007,0.062
n_fixing_forage,0.025,0.072
non_legume_hay,0.0134,0.057
non_n_fixing_forage,0.0134,0.049
oats,0.0073,0.047
peanut,0.016,0.086
potato,0.0169,0.073
rice,0.007,0.125
rye,0.008,0.05
sorghum,0.0065,0.06
soybean,0.008,0.085
spring_wheat,0.007,0.053
tubers,0.0169,0.073
wheat,0.00695,0.053
winter_wheat,0.0069,0.053